sentence,label
"接到 用户 举报 ， 经 核实 吧 主   热血 笨蛋 火神 君   长期 未 对 贴 吧 进行 管理 及 发言 ， 无法 在 建设   王炸 的 麻袋 吧   内容 上 、 言论 导向 上 发挥 应有 的 模范带头 作用 ， 严重 违反 吧 主 协议 ， 故 撤销 其 吧 主 管理权限 。 如对 此项 决议 有 异议 ， 请 至 贴 吧 反馈 中心 进行 申诉 ， 链接   http : tieba . baidu . comhermesfeedback
",n
"百度 贴 吧 管理 组
",p
"接到 用户 举报 ， 经 核实 吧 主   腹黑 天使 艾萨克   长期 未 对 贴 吧 进行 管理 及 发言 ， 无法 在 建设   王炸 的 麻袋 吧   内容 上 、 言论 导向 上 发挥 应有 的 模范带头 作用 ， 严重 违反 吧 主 协议 ， 故 撤销 其 吧 主 管理权限 。 如对 此项 决议 有 异议 ， 请 至 贴 吧 反馈 中心 进行 申诉 ， 链接   http : tieba . baidu . comhermesfeedback
",n
"百度 贴 吧 管理 组
",p
"为什么 麻袋 凉 了
",n
"不 知道 呀
",n
"ky 还有 的 磕 吗
",p
"控场 了 啊
",n
"麻袋 惨到 连 怎么 糊 的 ， 人们 都 忘记 了 hhhh
",n
"所以 ky 最后 是 be 了 ？
",n
"下岛 又 想 上 岛 了
",p
"袋子 回不去 了 啦
",n
"哪 两个 人 关系 更好 ？ 一 开始 是 凯源 ， 但凯凯 飘 了 ， 后来 是 凯千 ， 但 千千 已经 明显 嫌弃 凯凯 了 。 我 站 千源
",n
"白眼 pk ， 千千 五周年 翻凯凯 白眼 的 图 谁 有
",n
"动图 我 刚 去 找 了 ！ 但发 不 上来
",p
"说 我 尺寸 有 问题
",p
"最近 这 段时间 ， 有 一个 动图 让 我 印象 深刻
",p
"我 当时 看到 这个 动图 ， 心里 久久 不能平静
",p
"这个 团 怎么 变成 这样 了
",n
"凯凯 为什么 那么 讨好 千千 也是 很迷
",n
"互相 翻白眼 那张 吗 ？ 很 好 啊 ， 都 是 血气方刚 的 小伙子 ， 装 什么 塑料 姐妹 ， 撕起来 撕起来
",n
"易 烊 千玺 也 不是 只 冷落 那 一次 了 ， 等 我 找 找 那些 个动图
",n
"千千 在 传记 里 说 源源 是 他 光亮 的 来源
",p
"果然 现在 还是 千源 关系 比较 好 吧
",p
"凯源 凯千 单方面 的 付出 没有 结果 的
",n
"也 不怪 千千 翻白眼 ， 单方面 被 缠 哪 有 不烦 的 ， 同理 源源 ， 一味 忍让 在 感情 中 没有 好 果子吃 的
",n
"笑死人
",n
"普通 同事 关系 而已 ， 我 一直 以来 都 这样 认为 ， 没 你 什么 好 的 时候 也 没什么 不好 的 时候
",n
"在 四字 和 三字 的 爱情 中间 二字 不配 拥有 姓名 ， 放过 孩子 吧
",n
"狗 图过 了 手 的 团文 ， 我 是 一个 字 都 不会 信 的 ， 狗 图别 想 忽悠 我 ， 我 有 眼睛 ， 自己 看
",n
"王俊凯 对易 烊 千玺 不 知道 从 什么 时候 开始 ， 就 变得 热情 ， 有 事情 就 想 和 他 分享 ， 笑容 也是 上易 烊 千玺 开关
",p
"易 烊 千玺 对 王俊凯 之前 还是 很 自然 的 嬉笑 打闹 ， 各自 开 了 工作室 之后 ， 易 烊 千玺 变 了 ， 冷脸 很多 ， 不怎么 回应 王俊凯 了
",n
"感覺 434 就是 那種 戰略 上 的 合作 關 係 ？ 在 目標 一致 的 時候 搭 把手 ， 有 利益 衝突 的 時候 就 互 甩 對方 臉色
",n
"王俊凯 对 王源 ， 不 知道 咋 了 这 两位 。 王俊凯 的 表现 也 太 明显 了 ， 采访 王源 说话 时 ， 他 表情 会 不耐烦 （ 大哥 ， 你 都 不 在 媒体 面前 展现 一下 你 的 情商 吗 ， 你 这 表现 媒体 可以 写 很多 稿子 黑 你 的 组合 的 噢 ） ， 坐 位置 的 时候 还会 故意 坐远 一点 （ 记者 估计 内心 狂喜 ） ， 时不时 还会 翻白眼 （ 到 这里 团魂 已 是 越来越 难 挽回 ）
",n
"千源 的 話 還是 算了 ， 組合 裏 千跟凱 是 同一 陣線 的 ， 434 掰 了 ， 千源 也 不 可能
",n
"王源 对 王俊凯 ， 从 开始 的 保持 微笑 ， 到 现在 的 视而不见 。 刚 开始 还 保持 一下 组合 的 面子 ， 可是 你 队长 都 自暴自弃 了 ， 你 努力 有个 什么 用 啊 ？ 现在 的 反应 太像 天蝎 的 决绝 ， 既然 不理 我 ， 那 我 也 释然 ， come   on ！ who   cares ？
",n
"其实 是因为 千玺 现在 很 瞧 不 上俊凯 吧 。 。 而且 他 毕竟 家世 好 ， 瞧 不 上 另 两个 人 也是 应该 的
",n
"而且 他们 仨 一 开始 感情 是 真的 好 啊 ， 看 少年 go 装 不 出来 的 ， 后来 慢慢 同事 就 各种各样 原因 啦
",p
